ID,name,URL,,,,,Comment
pp0077,Jerzy Ossoliński,https://explore.gnd.network/gnd/122914074,,,,,
pp0078,Magnus Ernest Denhoff,https://www.wikidata.org/wiki/Q442621,,,,,
pp0079,"George William, Elector of Brandenburg",https://explore.gnd.network/gnd/102116156,,,,,
pp0080,Francois de Tournon,https://explore.gnd.network/gnd/120732394,,,,,
pp0081,August III of Poland,https://explore.gnd.network/gnd/118505092,,,,,
pp0082,"Friedrich Christian, Elector of Saxony",https://explore.gnd.network/gnd/118703226,,,,,
pp0083,Adolf Friedrich von Olthof,https://explore.gnd.network/gnd/129978175,,,,,
pp0084,Emeric Zápolya,https://www.wikidata.org/wiki/Q368260,,,,,
pp0085,Nikolas Szekely,,,,,,
pp0086,Achatius Axel de Göxholm,https://explore.gnd.network/gnd/104049502,,,,,
pp0087,Stefanus Kishorvath,,,,,,
pp0088,Georgius Kishorvath,,,,,,
pp0089,Laurentius Baniffus,,,,,,
pp0090,Johann Berizlo,,,,,,
pp0091,Franciscus Berizlo,,,,,,
pp0092,Johann Berizlo,,,,,,
pp0093,Martin Berizlo,,,,,,
pp0094,Johann Stalitius,,,,,,
pp0095,Kasimir von Brandenburg-Kulmbach,https://explore.gnd.network/gnd/102374090,,,,,
pp0096,Johann of Brandenburg-Ansbach,https://www.wikidata.org/wiki/Q327976,,,,,
pp0097,Christian IV,https://explore.gnd.network/gnd/118676059,,,,,
pp0098,Gábor Bethlen,https://explore.gnd.network/gnd/119108542,,,,,
pp0099,Philipp IV of Spanien,https://explore.gnd.network/gnd/118593870,,,,,
pp0100,Maximilian I. (Bayern),https://explore.gnd.network/gnd/118579355,,,,,
pp0101,Władysław IV of Poland,https://explore.gnd.network/gnd/118834657,,,,,
pp0102,Rafał Leszczyński,https://explore.gnd.network/gnd/1243917660,,,,,
pp0103,Remigius de Otok Zalesky,,,,,,
pp0104,Johann Sigismund (Brandenburg),https://explore.gnd.network/gnd/117677337,,,,,
pp0105,Andreas von Kreytzen,https://www.wikidata.org/wiki/Q501449,,,,,
pp0106,Johann Georg von Sauken,,,,,,
pp0107,Bernhard von Königseck,https://explore.gnd.network/gnd/128555661,,,,,
pp0108,Georg von Rauschken,https://explore.gnd.network/gnd/121370259,,,,,
pp0109,Peter Bergman,,,,,,
pp0110,Per Brahe ,https://explore.gnd.network/gnd/137917570,,,,,
pp0111,Johan Oxenstierna,https://explore.gnd.network/gnd/117191949,,,,,
pp0112,Johannes Nicodemus,,,,,,
pp0113,Claude de Mesmes,https://explore.gnd.network/gnd/122824458,,,,,
pp0114,Georg Douglas,,,,,,
pp0115,Rochus van den Honert,https://explore.gnd.network/gnd/137777922,,,,,
pp0116,Andries Bicker,https://explore.gnd.network/gnd/141936347,,,,,
pp0117,Joachim van Andreae,https://explore.gnd.network/gnd/1014037905,,,,,
pp0118,Christina of Sweden,https://explore.gnd.network/gnd/118520652,,,,,
pp0119,Friedrich Wilhelm (Brandenburg),https://explore.gnd.network/gnd/189438886,,,,,
pp0120,Arvid Forbus,https://explore.gnd.network/gnd/1069585637,,,,,
pp0121,Johan Nicodemi Lilljeström,https://explore.gnd.network/gnd/129892599,,,,,
pp0122,Heinich von Schwallenberg,,,,,,
pp0123,Johannes Georg von Borne,,,,,,
pp0124,Johannes Friedrich von Buch,,,,,,
pp0125,Franz von Pahlen,,,,,,
pp0126,Friedrich Runge,https://explore.gnd.network/gnd/138075018,,,,,
pp0127,Johann Friedrich (Pommern),https://explore.gnd.network/gnd/102307229,,,,,
pp0128,Bogislaw XIII (Pommern),https://explore.gnd.network/gnd/10235913X,,,,,
pp0129,Ernst Ludwig (Pommern),https://explore.gnd.network/gnd/100123937,,,,,
pp0130,Barnim X (Pommern),https://explore.gnd.network/gnd/102324204,,,,,
pp0131,Casimir VII (Pommern),https://explore.gnd.network/gnd/137808453,,,,,
pp0132,Adolf Friedrich I. von Mecklenburg-Schwerin,https://explore.gnd.network/gnd/100014704,,,,,
pp0133,Bogislaw XIV (Pommern),https://explore.gnd.network/gnd/102120153,,,,,
pp0134,Erasmus Kossowen,,,,,,
pp0135,Georg von Zitzewitz,,,,,,
pp0136,Jan II. Kazimierz Wasa,https://explore.gnd.network/gnd/119389118,,,,,
pp0137,Karl X. Gustav von Schweden,https://explore.gnd.network/gnd/118720945,,,,,
pp0138,Louis XIV of France,https://explore.gnd.network/gnd/118816829,,,,,
pp0139,Antoine de Lumbres,https://explore.gnd.network/gnd/123129869,,,,,
pp0140,Jan Leszczyński,https://www.wikidata.org/wiki/Q11718258,,,,,
pp0141,Jerzy Sebastian Lubomirski,https://explore.gnd.network/gnd/119521733,,,,,
pp0142,Mikołaj Prażmowksi,https://explore.gnd.network/gnd/1157908519,,,,,
pp0143,Krzysztof Pac,https://explore.gnd.network/gnd/1033803677,,,,,
pp0144,Jan Andrzej Morsztyn,https://explore.gnd.network/gnd/11892527X,,,,,
pp0145,Władysław z Nagłowice Rey,https://www.wikidata.org/wiki/Q9382245,,,,,
pp0146,Jan Gniński,https://explore.gnd.network/gnd/122326792,,,,,
pp0147,Franz Karl Liebsteinský-Kolowrat,https://explore.gnd.network/gnd/124327109,,,,,
pp0148,Franz Paul von Lisola,https://explore.gnd.network/gnd/11878014X,,,,,
pp0149,Johann von Hoverbeck,https://explore.gnd.network/gnd/121782441,,,,,
pp0150,Lorenz Christoph von Somnitz,https://explore.gnd.network/gnd/102836515,,,,,
pp0151,Albert von Ostau,https://explore.gnd.network/gnd/119778777,,,,,
pp0152,Magnus Gabriel de la Gardie,https://explore.gnd.network/gnd/119144646,,,,,
pp0153,Bengt Oxenstierna,https://explore.gnd.network/gnd/100127282,,,,,
pp0154,Christoph Carl Schlippenbach,https://explore.gnd.network/gnd/121425177,,,,,
pp0155,Anders Gyldenklau,https://explore.gnd.network/gnd/122244273,,,,,
pp0156,Jacob Kettler,https://explore.gnd.network/gnd/118775812,,,,,
pp0157,Hans Christoph Graf von Königsmarck,https://explore.gnd.network/gnd/1159073112,,,,,
pp0158,Anna Maria Radziwiłł,https://explore.gnd.network/gnd/115803890,,,,,
pp0159,Janusz Radziwiłł,https://explore.gnd.network/gnd/103122087,,,,,
pp0160,Christoff Delphicus von Dohna,https://explore.gnd.network/gnd/135698111,,,,,
pp0161,Zygmunt Guldenstern,https://explore.gnd.network/gnd/1046977709,,,,,
pp0162,Arvid Wittenberg,https://explore.gnd.network/gnd/122846915,,,,,
pp0163,Fredrik III von Dänemark,https://explore.gnd.network/gnd/1122852134,,,,,
pp0164,Michał Korybut Wiśniowiecki,https://explore.gnd.network/gnd/119333945,,,,,
pp0165,Adrian Zochowski,,,,,,
pp0166,Wojciech Opacki,,,,,,
pp0167,Daniel von Tettau,https://explore.gnd.network/gnd/120741148,,,,,
pp0168,Jan III. Sobieski,https://explore.gnd.network/gnd/118557769,,,,,
pp0169,Krzysztof Grzymultowicz,,,,,,
pp0170,Jan Szomowski,,,,,,
pp0171,Jan Stanislaw Nietwicki,,,,,,
pp0172,Friedrich I. (Preußen),https://explore.gnd.network/gnd/118535730,,,,,
pp0173,Otto Frydryk Felkiersamb,,,,,,
pp0174,Jan Dobrogost Krasiński,https://viaf.org/viaf/165515712/,,,,,
pp0175,Alexander Graf von Dohna ,https://explore.gnd.network/gnd/116170964,,,,,
pp0176,Christoph Wichert,,,,,,
pp0177,Stanisław Szczuka,https://explore.gnd.network/gnd/119054558,,,,,
pp0178,Eberhard Christoph Danckelmann,https://explore.gnd.network/gnd/119053322,,,,,
pp0179,Friedrich IV. (Dänemark und Norwegen),https://explore.gnd.network/gnd/119546256,,,,,
pp0180,"Friedrich IV., Schleswig-Holstein-Gottorf",https://explore.gnd.network/gnd/104193336,,,,,
pp0181,August II. (Polen),https://explore.gnd.network/gnd/118505084,,,,,
pp0182,Karl XII. (Schweden),https://explore.gnd.network/gnd/118560123,,,,,
pp0183,Johan Hugo von Lente,https://explore.gnd.network/gnd/1144428580,,,,,
pp0184,Christoph von Blome,https://explore.gnd.network/gnd/135549671,,,,,
pp0185,Magnus von Wedderkop,https://explore.gnd.network/gnd/100879586,,,,,
pp0186,William III of England,https://explore.gnd.network/gnd/1243970804,,,,,
pp0187,Stanisław I. (Poland),https://explore.gnd.network/gnd/118752715,,,,,
pp0188,Carl Carlsson Piper,https://explore.gnd.network/gnd/121061337,,,,,
pp0189,Olof Nilsson Hermelin,https://explore.gnd.network/gnd/123826039,,,,,
pp0190,Jan Stanisław Jabłonowksi,https://viaf.org/viaf/69740908/,,,,,
pp0191,Aleksander Paweł Sapieha,https://viaf.org/viaf/1707147907502579210001/,,,,,
pp0192,Anton Albrecht Imhof,https://explore.gnd.network/gnd/1034917218,,,,,
